source,title,link,published,index
Lenta.ru,Лавров рассказал о зависимости европейских лидеров от Трампа,https://lenta.ru/news/2025/09/27/lavrov-rasskazal-o-zavisimosti-evropeyskih-liderov-ot-trampa/,"Sat, 27 Sep 2025 21:26:00 +0300",86
Lenta.ru,Лавров рассказал об ответе ООН на просьбу раскрыть имена якобы жертв в Буче,https://lenta.ru/news/2025/09/27/lavrov-raskryl-otvet-oon-na-prosbu-raskryt-imena-yakoby-zhertv-intsidenta-v-buche/,"Sat, 27 Sep 2025 21:21:00 +0300",87
Lenta.ru,Лавров назвал проявлениями публичной дипломатии слова Трампа о России,https://lenta.ru/news/2025/09/27/lavrov-nazval-proyavleniyami-publichnoy-diplomatii-slova-trampa-o-rossii/,"Sat, 27 Sep 2025 21:13:00 +0300",88
Lenta.ru,«Краснодар» сыграл вничью с «Ростовом» в матче РПЛ,https://lenta.ru/news/2025/09/27/krasnodar-sygral-vnichyu-s-rostovom-v-matche-rpl/,"Sat, 27 Sep 2025 21:01:56 +0300",89
Lenta.ru,Анонсировано последнее интервью Тиграна Кеосаяна,https://lenta.ru/news/2025/09/27/anonsirovano-poslednee-intervyu-tigrana-keosayana/,"Sat, 27 Sep 2025 21:00:00 +0300",90
Lenta.ru,ВСУ ударили ракетами по российскому региону,https://lenta.ru/news/2025/09/27/vsu-udarili-raketami-po-rossiyskomu-regionu/,"Sat, 27 Sep 2025 20:54:00 +0300",91
Lenta.ru,Эрдоган заявил о выступавшем перед пустыми креслами Нетаньяху,https://lenta.ru/news/2025/09/27/erdogan-zayavil-o-vystupavshem-pered-pustymi-kreslami-netanyahu/,"Sat, 27 Sep 2025 20:49:00 +0300",92
Lenta.ru,Лавров высказался об обсуждении новых ударов по Ирану,https://lenta.ru/news/2025/09/27/lavrov-vyskazalsya-ob-obsuzhdenii-novyh-udarov-po-iranu/,"Sat, 27 Sep 2025 20:48:00 +0300",93
Lenta.ru,Лавров заявил о тревоге России из-за заявлений о третьей мировой войне,https://lenta.ru/news/2025/09/27/lavrov-zayavil-o-trevoge-rossii-iz-za-zayavleniy-o-tretiey-mirovoy-voyne/,"Sat, 27 Sep 2025 20:47:00 +0300",94
Lenta.ru,Лавров предупредил о последствиях ударов извне по объектам в воздушном пространстве России,https://lenta.ru/news/2025/09/27/lavrov-predupredil-o-posledstviyah-udarov-izvne-po-ob-ektam-v-vozdushnom-prostranstve-rossii/,"Sat, 27 Sep 2025 20:46:00 +0300",95
Lenta.ru,Захарова рассказала о конфузе на Генассамблее ООН,https://lenta.ru/news/2025/09/27/zaharova-rasskazala-o-konfuze-na-genassamblee-oon/,"Sat, 27 Sep 2025 20:42:00 +0300",96
Lenta.ru,По лагерю британского спецназа на Украине нанесли удар,https://lenta.ru/news/2025/09/27/po-lageryu-britanskogo-spetsnaza-na-ukraine-nanesen-udar/,"Sat, 27 Sep 2025 20:37:00 +0300",97
Lenta.ru,Лавров ответил на вопрос о возвращении Украины к границам 2022 года,https://lenta.ru/news/2025/09/27/lavrov-otvetil-na-vopros-o-vozvraschenii-ukrainy-k-granitsam-2022-goda/,"Sat, 27 Sep 2025 20:33:00 +0300",98
